date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
25-04-2013,50,71.1,0,0,0,4.03,20,12.97,10,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26-04-2013,46,71.1,0,0,0,3.58,20,12.97,40,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27-04-2013,53.1,72,0,0,0,2.91,220,12.08,230,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28-04-2013,55,62.1,0.97,0,0,4.92,120,12.08,120,16.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
29-04-2013,55,72,0.86,0,0,2.68,240,10.07,240,12.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30-04-2013,57,66,0,0,0,5.37,50,12.08,40,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
01-05-2013,57,62.1,0.01,0,0,9.84,50,19.91,80,29.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
02-05-2013,52,64.9,0,0,0,7.61,50,17,50,23.04,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
03-05-2013,48,69.1,0,0,0,9.84,80,21.03,80,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
04-05-2013,48.9,64,0,0,0,11.63,50,19.91,50,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
05-05-2013,50,60.1,0,0,0,12.3,80,21.03,80,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
06-05-2013,55.9,68,1.41,0,0,8.05,240,18.12,230,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
07-05-2013,50,71.1,0,0,0,4.92,230,18.12,230,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
08-05-2013,52,72,0.18,0,0,3.58,300,19.91,310,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
09-05-2013,54,80.1,0,0,0,3.36,280,14.99,250,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10-05-2013,55.9,84,0,0,0,7.16,240,21.03,240,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11-05-2013,64.9,81,0.3,0,0,9.62,230,23.04,240,29.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12-05-2013,52,72,0,0,0,5.82,280,16.11,280,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
13-05-2013,44.1,64.9,0,0,0,3.36,280,16.11,250,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14-05-2013,39,70,0,0,0,4.7,230,17,240,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
15-05-2013,55,86,0,0,0,9.84,230,18.12,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16-05-2013,62.1,84,0,0,0,6.49,240,14.99,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17-05-2013,61,86,0,0,0,2.46,110,12.97,110,16.11,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
18-05-2013,62.1,78.1,0.42,0,0,2.46,270,17,280,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
19-05-2013,64,78.1,0.54,0,0,6.49,200,17,190,25.05,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
20-05-2013,66.9,75,1.47,0,0,5.59,170,10.96,180,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
21-05-2013,69.1,84.9,0,0,0,7.83,170,14.99,170,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22-05-2013,69.1,82.9,0.01,0,0,9.17,170,14.99,220,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
23-05-2013,64.9,82,0.18,0,0,7.16,220,12.97,220,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
24-05-2013,52,70,0,0,0,5.82,290,19.91,310,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
25-05-2013,41,73,0,0,0,2.91,270,14.99,260,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26-05-2013,48,73,0,0,0,2.01,240,12.97,240,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27-05-2013,48.9,80.1,0,0,0,4.92,230,12.97,240,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28-05-2013,64,84.9,0,0,0,9.17,220,16.11,210,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
29-05-2013,63,84.9,0,0,0,8.5,230,14.99,170,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30-05-2013,64,86,0,0,0,5.59,240,14.09,240,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
31-05-2013,66,87.1,0,0,0,6.93,240,14.09,200,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
01-06-2013,66.9,89.1,0,0,0,9.17,230,18.12,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
02-06-2013,68,87.1,0.11,0,0,11.18,190,18.12,240,23.94,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
03-06-2013,64,82.9,0.45,0,0,5.59,330,16.11,330,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
04-06-2013,64,79,0,0,0,4.03,40,14.09,40,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
05-06-2013,64,82,0,0,0,6.04,110,14.09,120,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
06-06-2013,66,77,0.38,0,0,8.5,140,17,150,23.04,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
07-06-2013,68,75.9,5.14,0,0,4.92,350,14.09,120,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
08-06-2013,66,84,0.04,0,0,3.36,230,14.09,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
09-06-2013,66.9,87.1,0.02,0,0,3.13,180,8.05,180,16.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10-06-2013,70,84.9,0.66,0,0,11.63,240,25.05,240,36.01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11-06-2013,70,86,0,0,0,8.5,240,16.11,230,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12-06-2013,64,90,0,0,0,4.92,230,17,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
13-06-2013,68,93.9,0.05,0,0,9.4,300,29.97,300,48.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14-06-2013,59,80.1,0,0,0,4.25,340,14.09,80,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
15-06-2013,57,84.9,0,0,0,4.47,230,14.99,220,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16-06-2013,62.1,87.1,0,0,0,10.29,230,19.91,220,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17-06-2013,71.1,87.1,0,0,0,8.5,230,14.09,220,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
18-06-2013,69.1,84.9,0.14,0,0,8.5,230,21.92,220,27.96,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
19-06-2013,64.9,80.1,0,0,0,5.14,70,12.97,90,18.12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
20-06-2013,63,82,0,0,0,7.16,50,14.09,110,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
21-06-2013,55,82.9,0,0,0,6.04,90,12.08,100,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22-06-2013,69.1,82,0,0,0,6.71,130,17,130,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
23-06-2013,66.9,86,0.04,0,0,3.58,190,12.08,200,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
24-06-2013,71.1,89.1,0,0,0,8.5,230,17,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
25-06-2013,70,91.9,0.01,0,0,8.95,230,21.03,110,25.95,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
26-06-2013,69.1,91.9,0.29,0,0,9.4,340,19.91,330,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27-06-2013,66.9,89.1,0,0,0,9.62,240,19.91,240,23.94,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28-06-2013,69.1,91.9,1.66,0,0,9.17,240,19.91,290,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
29-06-2013,68,86,0.1,0,0,5.82,220,12.97,190,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30-06-2013,68,87.1,0.99,0,0,6.49,280,18.12,310,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
01-07-2013,69.1,82.9,0.72,0,0,6.26,180,18.12,170,23.94,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
02-07-2013,72,77,0.3,0,0,8.5,210,14.99,230,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
03-07-2013,73,84.9,0,0,0,6.93,250,14.99,180,19.91,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
04-07-2013,73,88,0,0,0,7.16,140,16.11,150,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
05-07-2013,72,89.1,0,0,0,7.61,140,14.09,170,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
06-07-2013,73,88,0.01,0,0,6.49,190,17,180,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
07-07-2013,70,89.1,0,0,0,7.38,220,16.11,250,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
08-07-2013,72,90,0,0,0,5.14,170,14.09,200,18.12,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
09-07-2013,72,89.1,0,0,0,6.71,220,17,220,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
